county,year,CAUSE,sex,ageG,Ndeaths,YLL,pop,US2000POP
California,2010,A02a,Female,85 - 999,1,3.7,395777.0037747704,4259
California,2010,A02a,Total,0 - 4,0,0,2525999.99210628,18987
California,2010,A02a,Total,15 - 24,0,0,5596840.4688891005,38077
California,2010,A02a,Total,25 - 34,1,63.11,5338068.65750252,37233
California,2010,A02a,Total,35 - 44,1,52.2,5177189.83346018,44659
California,2010,A02a,Total,45 - 54,0,0,5251633.09380686,37030
California,2010,A02a,Total,5 - 14,0,0,5086518.2222786,39977
California,2010,A02a,Total,55 - 64,0,0,4077244.17225021,23961
California,2010,A02a,Total,65 - 74,2,45.42,2295640.7917253,18136
California,2010,A02a,Total,75 - 84,2,36.370000000000005,1374145.00347759,12315
California,2010,A02a,Total,85 - 999,1,3.7,610302.7645322314,4259
California,2010,A02b,Male,0 - 4,0,0,1291229.64820253,18987
California,2010,A02b,Male,15 - 24,14,992.91,2904940.7817453,38077
California,2010,A02b,Male,25 - 34,49,3033.62,2728380.48390666,37233
California,2010,A02b,Male,35 - 44,127,6570.34,2603043.66772075,44659
California,2010,A02b,Male,45 - 54,249,10703.55,2609657.18058244,37030
California,2010,A02b,Male,5 - 14,0,0,2599921.36979385,39977
California,2010,A02b,Male,55 - 64,140,4718.88,1969247.18607936,23961
California,2010,A02b,Male,65 - 74,37,904.95,1063816.78529905,18136
California,2010,A02b,Male,75 - 84,9,144.22,585371.370720331,12315
California,2010,A02b,Male,85 - 999,3,26.15,214525.76075746102,4259
California,2010,A02b,Female,0 - 4,0,0,1234770.34390375,18987
California,2010,A02b,Female,15 - 24,3,211.2,2691899.6871438,38077
California,2010,A02b,Female,25 - 34,7,420.88,2609688.17359586,37233
California,2010,A02b,Female,35 - 44,21,1087.34,2574146.16573943,44659
California,2010,A02b,Female,45 - 54,44,1879.7,2641975.91322442,37030
California,2010,A02b,Female,5 - 14,1,83.03,2486596.85248475,39977
California,2010,A02b,Female,55 - 64,23,759.8299999999999,2107996.9861708498,23961
California,2010,A02b,Female,65 - 74,7,178.05,1231824.0064262499,18136
California,2010,A02b,Female,75 - 84,2,29.75,788773.6327572591,12315
California,2010,A02b,Female,85 - 999,1,10.7,395777.0037747704,4259
California,2010,A02b,Total,0 - 4,0,0,2525999.99210628,18987
California,2010,A02b,Total,15 - 24,17,1204.11,5596840.4688891005,38077
California,2010,A02b,Total,25 - 34,56,3454.5,5338068.65750252,37233
California,2010,A02b,Total,35 - 44,148,7657.68,5177189.83346018,44659
California,2010,A02b,Total,45 - 54,293,12583.25,5251633.09380686,37030
California,2010,A02b,Total,5 - 14,1,83.03,5086518.2222786,39977
California,2010,A02b,Total,55 - 64,163,5478.71,4077244.17225021,23961
California,2010,A02b,Total,65 - 74,44,1083,2295640.7917253,18136
California,2010,A02b,Total,75 - 84,11,173.97,1374145.00347759,12315
California,2010,A02b,Total,85 - 999,4,36.85,610302.7645322314,4259
California,2010,A04,Male,0 - 4,4,365.83,1291229.64820253,18987
California,2010,A04,Male,15 - 24,5,359.3,2904940.7817453,38077
California,2010,A04,Male,25 - 34,3,189.32,2728380.48390666,37233
California,2010,A04,Male,35 - 44,5,265.95,2603043.66772075,44659
California,2010,A04,Male,45 - 54,6,255.18,2609657.18058244,37030
